,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding,recorded_animal
1072,20250429_MC_12,None,None,None,None,kanga
1073,20250429_MC_18,Reactive,Predictive,None,None,kanga
1074,20250429_MC_26,Reactive,Both,None,Reactive,kanga
1075,20250429_MC_28,Reactive,None,None,None,kanga
1076,20250429_MC_36,Reactive,None,None,None,kanga
1077,20250429_MC_41,None,None,None,None,kanga
1078,20250429_MC_43,Reactive,Predictive,Reactive,None,kanga
1079,20250429_MC_46,None,None,None,None,kanga
1080,20250429_MC_47,Reactive,None,Both,Reactive,kanga
1081,20250429_MC_51,None,Reactive,Both,Reactive,kanga
1082,20250429_MC_59,None,None,None,None,kanga
1083,20250429_MC_62,Reactive,Reactive,Both,Both,kanga
1084,20250429_MC_67,Reactive,None,None,None,kanga
1085,20250429_MC_72,None,None,None,None,kanga
1086,20250429_MC_74,Reactive,Reactive,Both,Both,kanga
1087,20250429_MC_80,Both,Both,Both,Both,kanga
1088,20250429_MC_83,Reactive,Reactive,Both,Reactive,kanga
1089,20250429_MC_86,Reactive,Reactive,Both,Reactive,kanga
1090,20250429_MC_91,None,None,None,None,kanga
1091,20250429_MC_96,Reactive,Both,None,Reactive,kanga
1092,20250429_MC_98,Reactive,None,Reactive,None,kanga
1115,20250430_MC_3,None,None,None,None,kanga
1116,20250430_MC_10,None,None,None,None,kanga
1117,20250430_MC_12,None,None,None,None,kanga
1118,20250430_MC_14,None,None,None,None,kanga
1119,20250430_MC_16,Reactive,Reactive,None,None,kanga
1120,20250430_MC_23,Reactive,Reactive,Reactive,None,kanga
1121,20250430_MC_30,None,None,None,None,kanga
1122,20250430_MC_34,Reactive,Reactive,None,None,kanga
1123,20250430_MC_43,Both,Reactive,Reactive,None,kanga
1124,20250430_MC_47,Both,Both,Both,Predictive,kanga
1125,20250430_MC_53,Both,Reactive,Both,None,kanga
1126,20250430_MC_56,None,None,None,None,kanga
1127,20250430_MC_74,Reactive,Reactive,Reactive,None,kanga
1128,20250430_MC_79,Reactive,Reactive,Both,None,kanga
1129,20250430_MC_82,None,None,None,None,kanga
1130,20250430_MC_84,None,None,Reactive,None,kanga
1131,20250430_MC_87,Both,Reactive,Both,None,kanga
1132,20250430_MC_98,None,None,None,None,kanga
1133,20250430_MC_108,Reactive,Reactive,None,None,kanga
1134,20250430_MC_119,Reactive,None,None,None,kanga
1135,20250430_MC_121,None,None,None,None,kanga
1136,20250430_MC_123,None,None,None,None,kanga
1137,20250430_MC_125,None,None,None,None,kanga
