date,recorded_animal,task_condition,succ_rate,neuron_num,follower_percentage,role,selfvspartner_pullnum,self_pullnum,partner_pullnum,selfvspartner_followerPer,r_pathlength,r_netdisplacement,r_tortuosity,r_meanspeed,r_meancurvature,r_radiusofgyration,r_convexhullvolume,r_anglespannet,r_anglespantotal
20250417,dodson,MC_withKanga,0.4881889763779528,25,0.421875,leader,1.0158730158730158,64.0,63.0,0.857358870967742,0.1786477639866073,0.1654500535753479,-0.05511582689883463,0.1786477639866073,-0.29277718718034806,0.22733569047788554,0.06157791826600569,-0.05477391730268802,-0.21181299481282911
20250422,dodson,MC_withKanga,0.688,7,0.25,leader,1.1929824561403508,68.0,57.0,0.3313953488372093,0.01895598920155863,0.18631465720766588,-0.18102683343240733,0.01895598920155863,-0.2591606338372205,0.09279462589000655,-0.05850967462515327,0.007521308907768478,-0.07681661686512782
20250423,dodson,MC_withKanga,0.6211180124223602,13,0.6024096385542169,follower,1.064102564102564,83.0,78.0,1.566265060240964,0.20150157310815836,-0.01888132195649693,0.10550398842543965,0.20150157310815836,0.007389486726707015,0.12125595479304642,0.24226208708109745,-0.2281799869310917,-0.1500249885262047
20250428_MC,dodson,MC_withKanga,0.5769230769230769,9,0.6086956521739131,follower,0.7931034482758621,46.0,58.0,1.961352657004831,-0.04636835659734104,0.12929637897335483,-0.09833009886813755,-0.04636835659734104,0.006241894157334372,-0.05755512794425199,-0.0688229628516478,0.36211092468587835,0.10003243363831965
20250429_MC,dodson,MC_withKanga,0.7536231884057971,7,0.5555555555555556,leader,1.0909090909090908,36.0,33.0,1.0784313725490198,0.041274942849033554,0.12092029553179831,-0.1348314799735096,0.041274942849033554,0.07460063744566066,-0.11052512474018986,-0.510433459899715,0.09034626379177345,0.11174808600979086
20240509,kanga,MC,0.7862068965517242,14,0.6075949367088608,follower,1.196969696969697,79.0,66.0,2.227848101265823,-0.09531887473556153,-0.09612097866146431,0.10849441791186623,-0.09531887473556153,-0.15351743171991736,-0.08418146448573112,-0.06049967480456872,-0.04276134372189904,0.062498359996982195
20240513,kanga,MC,0.725925925925926,17,0.7101449275362319,follower,1.0454545454545454,69.0,66.0,2.9293478260869565,0.0365792388185634,-0.10524296483262995,0.1325769015322158,0.0365792388185634,0.20336010392138393,0.0388997000223384,0.015585459896221066,-0.043741607258561827,-0.02371620978346418
20240523,kanga,MC,0.8636363636363636,14,0.5,leader,1.0625,68.0,64.0,1.103448275862069,0.11889198655760362,0.21299112413464039,-0.1962001999573253,0.11889198655760362,-0.08135290216639263,0.17947486532757784,0.0567130954634836,0.0942521798546946,-0.19609088404471256
20240606,kanga,MC,0.6547619047619048,26,0.3269230769230769,leader,1.625,104.0,64.0,0.5811965811965812,-0.047913663645417395,0.09379522555438312,-0.1166426396723263,-0.047913663645417395,0.03889003350220089,-0.0653073560760727,0.009430050490506839,0.029844434691563285,0.07387513637030141
20240808,kanga,MC_withGinger,0.7204968944099379,24,0.4634146341463415,follower,1.0379746835443038,82.0,79.0,0.8929208804283165,-0.043555411545286936,-0.007489658371196554,-0.0026562160502499412,-0.043555411545286936,0.008730677345493657,-0.06674287132820651,-0.0456782071592162,0.027487481667545496,0.08994121724247957
20240809,kanga,MC_withGinger,0.7976190476190477,24,0.6071428571428571,follower,1.0,84.0,84.0,2.125,-0.0735073467299767,-0.17819287737365702,0.1541789922080816,-0.0735073467299767,0.04731251300932461,-0.024107689404503446,-0.15463628787285577,-0.15856434037796696,0.02088316869135245
20240812,kanga,MC_withGinger,0.5,23,0.41379310344827586,follower,2.3513513513513513,87.0,37.0,0.6959247648902821,0.08844346630962896,0.15076534547189846,-0.15902271135121188,0.08844346630962896,-0.06349206586973791,-0.0064265899014999284,0.09813525460454883,0.13952589088645587,0.023082876503772137
20240813,kanga,MC_withKoala,0.23728813559322035,30,0.4857142857142857,leader,1.4583333333333333,35.0,24.0,1.1657142857142857,0.07274249118969571,-0.16270906650016995,0.13461541473035643,0.07274249118969571,-0.09163881648724885,0.10167226354789655,0.2118729570973436,-0.2801003971097479,-0.12474919178738622
